candidate_id,rank,score,reasoning
CAND_0088025,1,0.9900,"Staff Machine Learning Engineer at Yellow.ai (8.6 yrs) — title aligns closely with the role; 8.6 years experience in the ideal range; core skills include Pinecone, TensorFlow, BM25."
CAND_0018499,2,0.9884,"Senior Machine Learning Engineer at Zomato (7.2 yrs) — title aligns closely with the role; 7.2 years experience in the ideal range; core skills include Deep Learning, Weaviate, Recommendation Systems."
CAND_0002025,3,0.9292,"Senior AI Engineer at Apple (5.9 yrs) — title aligns closely with the role; 5.9 years experience in the ideal range; core skills include FAISS, TensorFlow, scikit-learn."
CAND_0046525,4,0.9259,"Senior Machine Learning Engineer at Genpact AI (6.1 yrs) — title aligns closely with the role; 6.1 years experience in the ideal range; core skills include Elasticsearch, Machine Learning, Information Retrieval."
CAND_0077337,5,0.9195,"Staff Machine Learning Engineer at Paytm (7.0 yrs) — title aligns closely with the role; 7.0 years experience in the ideal range; core skills include Semantic Search, Pinecone, BM25."
CAND_0071974,6,0.8731,"Senior AI Engineer at Netflix (7.8 yrs) — title aligns closely with the role; 7.8 years experience in the ideal range; core skills include Learning to Rank, Weaviate, BM25."
CAND_0081846,7,0.8194,"Lead AI Engineer at Razorpay (6.7 yrs) — title aligns closely with the role; 6.7 years experience in the ideal range; core skills include Information Retrieval, Learning to Rank, Elasticsearch."
CAND_0011687,8,0.8036,"Senior NLP Engineer at Niramai (7.8 yrs) — title aligns closely with the role; 7.8 years experience in the ideal range; core skills include TensorFlow, OpenSearch, FAISS."
CAND_0086022,9,0.7954,"Senior Applied Scientist at Sarvam AI (5.3 yrs) — title aligns closely with the role; 5.3 years experience in the ideal range; core skills include Vector Search, Recommendation Systems, Deep Learning."
CAND_0093547,10,0.7925,"Senior Machine Learning Engineer at PhonePe (2.9 yrs) — title aligns closely with the role; core skills include Machine Learning, PyTorch, Milvus; product-company experience at PhonePe."
CAND_0006567,11,0.7777,"Senior AI Engineer at Meta (7.9 yrs) — title aligns closely with the role; 7.9 years experience in the ideal range; core skills include scikit-learn, BM25, NLP."
CAND_0094759,12,0.7490,"Lead AI Engineer at Meta (8.6 yrs) — title aligns closely with the role; 8.6 years experience in the ideal range; core skills include scikit-learn, Learning to Rank, Semantic Search. Minor concern: low recruiter response rate (11%)."
CAND_0055905,13,0.7468,"Senior Machine Learning Engineer at Flipkart (8.1 yrs) — title aligns closely with the role; 8.1 years experience in the ideal range; core skills include Elasticsearch, OpenSearch, Information Retrieval. Minor concern: located outside India (UK)."
CAND_0008425,14,0.7309,"Senior NLP Engineer at Ola (7.8 yrs) — title aligns closely with the role; 7.8 years experience in the ideal range; core skills include Learning to Rank, Qdrant, Sentence Transformers."
CAND_0005260,15,0.6889,"Senior NLP Engineer at Netflix (5.2 yrs) — title aligns closely with the role; 5.2 years experience in the ideal range; core skills include Information Retrieval, Semantic Search, Deep Learning."
CAND_0005538,16,0.6870,"Strong fit: title aligns closely with the role; 5.9 years experience in the ideal range; core skills include Deep Learning, PyTorch, Natural Language Processing."
CAND_0046064,17,0.6648,"Strong fit: title aligns closely with the role; 8.9 years experience in the ideal range; core skills include Pinecone, BM25, OpenSearch."
CAND_0041611,18,0.6540,"Strong fit: title aligns closely with the role; 6.4 years experience in the ideal range; core skills include PyTorch, Qdrant, NLP. Gap: low recruiter response rate (7%); located outside India (USA)."
CAND_0050454,19,0.6470,"Strong fit: title aligns closely with the role; 6.8 years experience in the ideal range; core skills include PyTorch, FAISS, Qdrant."
CAND_0060072,20,0.6140,"Strong fit: title aligns closely with the role; 5.7 years experience in the ideal range; core skills include Deep Learning, Sentence Transformers, PyTorch. Gap: low recruiter response rate (10%)."
CAND_0068351,21,0.6038,"Strong fit: title aligns closely with the role; 6.4 years experience in the ideal range; core skills include Deep Learning, Qdrant, Elasticsearch."
CAND_0007411,22,0.5802,"Strong fit: title aligns closely with the role; 8.0 years experience in the ideal range; core skills include OpenSearch, Vector Search, BM25. Gap: low recruiter response rate (12%)."
CAND_0093193,23,0.5443,"Strong fit: title aligns closely with the role; 7.9 years experience in the ideal range; core skills include Ranking Systems, Qdrant, OpenSearch."
CAND_0043637,24,0.5432,"Strong fit: title aligns closely with the role; 5.5 years experience in the ideal range; core skills include PyTorch, Milvus, Learning to Rank."
CAND_0004402,25,0.5431,"Strong fit: title aligns closely with the role; 6.0 years experience in the ideal range; core skills include OpenSearch, PyTorch, Learning to Rank."
CAND_0064904,26,0.5319,"Strong fit: title aligns closely with the role; 4.9 years experience (slightly below preferred range); core skills include Embeddings, Elasticsearch, TensorFlow."
CAND_0033861,27,0.5273,"Strong fit: title aligns closely with the role; 8.0 years experience in the ideal range; core skills include Weaviate, Machine Learning, TensorFlow. Gap: low recruiter response rate (16%)."
CAND_0058688,28,0.4881,"Strong fit: title aligns closely with the role; 6.7 years experience in the ideal range; core skills include scikit-learn, Embeddings, TensorFlow. Gap: located outside India (Germany)."
CAND_0080766,29,0.4880,"Strong fit: title aligns closely with the role; 8.8 years experience in the ideal range; core skills include Elasticsearch, Deep Learning, Natural Language Processing."
CAND_0061257,30,0.4592,"Strong fit: title aligns closely with the role; 8.0 years experience in the ideal range; relevant skills: Machine Learning, PEFT."
CAND_0048558,31,0.4424,"Data Scientist with 6.7 years — title aligns closely with the role; 6.7 years experience in the ideal range; core skills include Information Retrieval, OpenSearch, Qdrant."
CAND_0037980,32,0.4342,"Senior Applied Scientist with 9.0 years — title aligns closely with the role; 9.0 years experience in the ideal range; core skills include PyTorch, NLP, BM25."
CAND_0098952,33,0.4305,"AI Research Engineer with 5.5 years — title aligns closely with the role; 5.5 years experience in the ideal range; core skills include Recommendation Systems, OpenSearch, scikit-learn."
